name,parent,value
Origin,,
Afghanistan,Origin,36263
Albania,Origin,4880
Algeria,Origin,27973
Andorra,Origin,907
Angola,Origin,950
Antigua and Barbuda,Origin,86
Argentina,Origin,167416
Armenia,Origin,37390
Australia,Origin,15303
Austria,Origin,20558
Azerbaijan,Origin,30446
Bahamas,Origin,382
Bahrain,Origin,39482
Bangladesh,Origin,226225
Barbados,Origin,110
Belarus,Origin,67251
Belgium,Origin,66428
Belize,Origin,48
Benin,Origin,1770
Bhutan,Origin,99
Bolivia,Origin,71181
Bosnia and Herzegovina,Origin,10498
Botswana,Origin,739
Brazil,Origin,2442375
Brunei,Origin,141
Bulgaria,Origin,10621
Burkina Faso,Origin,1100
Burma,Origin,350
Burundi,Origin,378
Cabo Verde,Origin,2328
Cambodia,Origin,226
Cameroon,Origin,17110
Canada,Origin,116458
Central African Republic,Origin,4599
Chad,Origin,922
Chile,Origin,347923
China,Origin,86783
Colombia,Origin,257101
Comoros,Origin,354
Congo (Brazzaville),Origin,3200
Congo (Kinshasa),Origin,8844
Costa Rica,Origin,15841
Cote d'Ivoire,Origin,15655
Croatia,Origin,4881
Cuba,Origin,2532
Cyprus,Origin,1060
Czechia,Origin,15516
Denmark,Origin,13761
Djibouti,Origin,5059
Dominica,Origin,18
Dominican Republic,Origin,64156
Ecuador,Origin,81161
Egypt,Origin,92482
El Salvador,Origin,15035
Equatorial Guinea,Origin,3071
Eritrea,Origin,265
Estonia,Origin,2034
Eswatini,Origin,2316
Ethiopia,Origin,14547
Fiji,Origin,27
Finland,Origin,7398
France,Origin,220352
Gabon,Origin,7189
Gambia,Origin,326
Georgia,Origin,1137
Germany,Origin,207112
Ghana,Origin,33624
Greece,Origin,4227
Greenland,Origin,14
Grenada,Origin,23
Guatemala,Origin,45309
Guinea,Origin,7055
Guinea-Bissau,Origin,1954
Guyana,Origin,389
Haiti,Origin,7340
Holy See,Origin,12
Honduras,Origin,39741
Hungary,Origin,4448
Iceland,Origin,1854
India,Origin,1480073
Indonesia,Origin,100303
Iran,Origin,293606
Iraq,Origin,112585
Ireland,Origin,25892
Israel,Origin,63985
Italy,Origin,246286
Jamaica,Origin,853
Japan,Origin,31142
Jordan,Origin,1176
Kazakhstan,Origin,84648
Kenya,Origin,17975
Kosovo,Origin,7413
Kuwait,Origin,64379
Kyrgyzstan,Origin,33296
Laos,Origin,20
Latvia,Origin,1219
Lebanon,Origin,3882
Lesotho,Origin,505
Liberia,Origin,1167
Libya,Origin,2827
Liechtenstein,Origin,86
Lithuania,Origin,2019
Luxembourg,Origin,6321
Madagascar,Origin,9690
Malawi,Origin,3664
Malaysia,Origin,8904
Maldives,Origin,3369
Mali,Origin,2513
Malta,Origin,701
Mauritania,Origin,6208
Mauritius,Origin,344
Mexico,Origin,395489
Moldova,Origin,23154
Monaco,Origin,116
Mongolia,Origin,289
Montenegro,Origin,2893
Morocco,Origin,20887
Mozambique,Origin,1701
Namibia,Origin,1843
Nepal,Origin,18752
Netherlands,Origin,53413
New Zealand,Origin,1557
Nicaragua,Origin,3439
Niger,Origin,1132
Nigeria,Origin,41180
North Macedonia,Origin,10213
Norway,Origin,9132
Oman,Origin,77058
Pakistan,Origin,274289
Panama,Origin,61442
Papua New Guinea,Origin,62
Paraguay,Origin,4548
Peru,Origin,389717
Philippines,Origin,82040
Poland,Origin,43402
Portugal,Origin,50299
Qatar,Origin,109597
Romania,Origin,45902
Russia,Origin,816680
Rwanda,Origin,1879
Saint Kitts and Nevis,Origin,17
Saint Lucia,Origin,24
Saint Vincent and the Grenadines,Origin,52
San Marino,Origin,699
Sao Tome and Principe,Origin,865
Saudi Arabia,Origin,268934
Senegal,Origin,9764
Serbia,Origin,24141
Seychelles,Origin,114
Sierra Leone,Origin,1783
Singapore,Origin,50838
Slovakia,Origin,2181
Slovenia,Origin,2087
Somalia,Origin,3196
South Africa,Origin,452529
South Korea,Origin,14203
South Sudan,Origin,2305
Spain,Origin,272421
Sri Lanka,Origin,2805
Sudan,Origin,11424
Suriname,Origin,1483
Sweden,Origin,79395
Switzerland,Origin,34477
Syria,Origin,674
Taiwan*,Origin,462
Tajikistan,Origin,7235
Tanzania,Origin,509
Thailand,Origin,3297
Timor-Leste,Origin,24
Togo,Origin,874
Trinidad and Tobago,Origin,148
Tunisia,Origin,1455
Turkey,Origin,227019
US,Origin,4290259
Uganda,Origin,1128
Ukraine,Origin,67096
United Arab Emirates,Origin,59177
United Kingdom,Origin,301708
Uruguay,Origin,1202
Uzbekistan,Origin,21209
Venezuela,Origin,15988
Vietnam,Origin,431
West Bank and Gaza,Origin,10621
Western Sahara,Origin,10
Yemen,Origin,1691
Zambia,Origin,4552
Zimbabwe,Origin,2704
